Learning Rate,Iterations,Alpha,Train MSE,Test MSE,Test R2
0.0001,1000,0.0001,11.418874873114481,11.690921258596502,0.7709485175031214
0.0001,1000,0.001,11.42143799612444,11.689005097857224,0.7709860594083594
0.0001,3000,0.0001,11.418874873114481,11.690921258596502,0.7709485175031214
0.0001,3000,0.001,11.42143799612444,11.689005097857224,0.7709860594083594
0.0001,5000,0.0001,11.418874873114481,11.690921258596502,0.7709485175031214
0.0001,5000,0.001,11.42143799612444,11.689005097857224,0.7709860594083594
0.0001,10000,0.0001,11.418874873114481,11.690921258596502,0.7709485175031214
0.0001,10000,0.001,11.42143799612444,11.689005097857224,0.7709860594083594
0.0001,20000,0.0001,11.418874873114481,11.690921258596502,0.7709485175031214
0.0001,20000,0.001,11.42143799612444,11.689005097857224,0.7709860594083594
0.001,1000,0.0001,11.118108754948347,11.225223216315092,0.7800725911856823
0.001,1000,0.001,11.121764065523745,11.22635526403326,0.7800504118208258
0.001,3000,0.0001,11.118108754948347,11.225223216315092,0.7800725911856823
0.001,3000,0.001,11.121764065523745,11.22635526403326,0.7800504118208258
0.001,5000,0.0001,11.118108754948347,11.225223216315092,0.7800725911856823
0.001,5000,0.001,11.121764065523745,11.22635526403326,0.7800504118208258
0.001,10000,0.0001,11.118108754948347,11.225223216315092,0.7800725911856823
0.001,10000,0.001,11.121764065523745,11.22635526403326,0.7800504118208258
0.001,20000,0.0001,11.118108754948347,11.225223216315092,0.7800725911856823
0.001,20000,0.001,11.121764065523745,11.22635526403326,0.7800504118208258
0.01,1000,0.0001,11.84944169785235,9.752156676233406,0.8089332829446108
0.01,1000,0.001,11.854382642510824,9.766304926787146,0.8086560868458269
0.01,3000,0.0001,11.84944169785235,9.752156676233406,0.8089332829446108
0.01,3000,0.001,11.854382642510824,9.766304926787146,0.8086560868458269
0.01,5000,0.0001,11.84944169785235,9.752156676233406,0.8089332829446108
0.01,5000,0.001,11.854382642510824,9.766304926787146,0.8086560868458269
0.01,10000,0.0001,11.84944169785235,9.752156676233406,0.8089332829446108
0.01,10000,0.001,11.854382642510824,9.766304926787146,0.8086560868458269
0.01,20000,0.0001,11.84944169785235,9.752156676233406,0.8089332829446108
0.01,20000,0.001,11.854382642510824,9.766304926787146,0.8086560868458269
0.05,1000,0.0001,14.57103917473118,10.721649154024108,0.7899387414199858
0.05,1000,0.001,14.59214298374241,10.746986358558516,0.7894423285084142
0.05,3000,0.0001,14.57103917473118,10.721649154024108,0.7899387414199858
0.05,3000,0.001,14.59214298374241,10.746986358558516,0.7894423285084142
0.05,5000,0.0001,14.57103917473118,10.721649154024108,0.7899387414199858
0.05,5000,0.001,14.59214298374241,10.746986358558516,0.7894423285084142
0.05,10000,0.0001,14.57103917473118,10.721649154024108,0.7899387414199858
0.05,10000,0.001,14.59214298374241,10.746986358558516,0.7894423285084142
0.05,20000,0.0001,14.57103917473118,10.721649154024108,0.7899387414199858
0.05,20000,0.001,14.59214298374241,10.746986358558516,0.7894423285084142
0.1,1000,0.0001,56.79496521998451,71.980011132972,-0.4102505607097333
0.1,1000,0.001,57.119331723328365,72.33283009164883,-0.4171630788723639
0.1,3000,0.0001,56.79496521998451,71.980011132972,-0.4102505607097333
0.1,3000,0.001,57.119331723328365,72.33283009164883,-0.4171630788723639
0.1,5000,0.0001,56.79496521998451,71.980011132972,-0.4102505607097333
0.1,5000,0.001,57.119331723328365,72.33283009164883,-0.4171630788723639
0.1,10000,0.0001,56.79496521998451,71.980011132972,-0.4102505607097333
0.1,10000,0.001,57.119331723328365,72.33283009164883,-0.4171630788723639
0.1,20000,0.0001,56.79496521998451,71.980011132972,-0.4102505607097333
0.1,20000,0.001,57.119331723328365,72.33283009164883,-0.4171630788723639
0.5,1000,0.0001,4.013625652486923e+24,4.1756710399083285e+24,-8.18108018140143e+22
0.5,1000,0.001,1.763989399985889e+24,1.310109437697012e+24,-2.5667995045043823e+22
0.5,3000,0.0001,4.013625652486923e+24,4.1756710399083285e+24,-8.18108018140143e+22
0.5,3000,0.001,1.763989399985889e+24,1.310109437697012e+24,-2.5667995045043823e+22
0.5,5000,0.0001,4.013625652486923e+24,4.1756710399083285e+24,-8.18108018140143e+22
0.5,5000,0.001,1.763989399985889e+24,1.310109437697012e+24,-2.5667995045043823e+22
0.5,10000,0.0001,4.013625652486923e+24,4.1756710399083285e+24,-8.18108018140143e+22
0.5,10000,0.001,1.763989399985889e+24,1.310109437697012e+24,-2.5667995045043823e+22
0.5,20000,0.0001,4.013625652486923e+24,4.1756710399083285e+24,-8.18108018140143e+22
0.5,20000,0.001,1.763989399985889e+24,1.310109437697012e+24,-2.5667995045043823e+22
1.0,1000,0.0001,2.561553688975744e+25,2.5568857954850863e+25,-5.009515239018708e+23
1.0,1000,0.001,1.2073009030845558e+25,1.5111822816492338e+25,-2.9607464995990098e+23
1.0,3000,0.0001,2.561553688975744e+25,2.5568857954850863e+25,-5.009515239018708e+23
1.0,3000,0.001,1.2073009030845558e+25,1.5111822816492338e+25,-2.9607464995990098e+23
1.0,5000,0.0001,2.561553688975744e+25,2.5568857954850863e+25,-5.009515239018708e+23
1.0,5000,0.001,1.2073009030845558e+25,1.5111822816492338e+25,-2.9607464995990098e+23
1.0,10000,0.0001,2.561553688975744e+25,2.5568857954850863e+25,-5.009515239018708e+23
1.0,10000,0.001,1.2073009030845558e+25,1.5111822816492338e+25,-2.9607464995990098e+23
1.0,20000,0.0001,2.561553688975744e+25,2.5568857954850863e+25,-5.009515239018708e+23
1.0,20000,0.001,1.2073009030845558e+25,1.5111822816492338e+25,-2.9607464995990098e+23
